pk_teuna_fikt,thum_geografi,sug_dereh,semel_yishuv,rehov1,rehov2,bayit,zomet_ironi,kvish1,kvish2,km,zomet_lo_ironi,yehida,shnat_teuna,hodesh_teuna,shaa,sug_yom,yom_layla,yom_bashavua,humrat_teuna,sug_teuna,had_maslul,rav_maslul,mehirut_muteret,tkinut,rohav,simun_timrur,teura,mezeg_avir,pne_kvish,sug_ezem,merhak_ezem,lo_haza,ofen_haziya,mekom_haziya,kivun_haziya,mahoz,nafa,ezor_tivi,maamad_minizipali,zurat_ishuv,status_igun,x,y,average_traffic_count
2014013507,1,4,0,,,,,899,0,25,,12,2014,4,71,4,1,5,2,5,2,0,4,1,3,3,1,1,1,9,9,9,0,0,9,2,24,245,99,99,1,213536,775628,183.234848484848
2014013585,1,3,0,,,,,4,35,646,279,38,2014,2,71,4,5,3,2,2,0,3,4,1,3,3,3,1,1,9,9,9,0,0,9,6,61,614,99,99,1,162766,619420,1149.90548245614
2014013640,2,4,0,,,,,5505,0,,,41,2014,1,72,4,5,5,2,1,2,0,4,1,2,4,3,1,1,9,9,9,1,2,2,4,21,421,99,99,3,197569,679201,964.689814814815
2014013651,2,4,0,,,,,60,0,956,,43,2014,1,72,4,5,6,2,2,2,0,4,1,4,3,3,1,1,9,9,9,0,0,9,7,77,77,99,99,1,224728,640130,543.656103286385
2014013653,1,4,0,,,,,65,0,30,,11,2014,1,72,4,5,1,2,2,2,0,4,1,3,3,3,1,1,9,9,9,0,0,9,3,24,324,99,99,1,193570,707755,870.067934782609
2014013713,1,4,0,,,,,2,0,300,,51,2014,1,72,4,5,5,2,4,0,3,5,1,4,3,3,1,1,9,9,9,0,0,9,4,11,411,99,99,1,183751,679686,1978.44010416667
2014013854,1,3,0,,,,,4,85,2305,4050,12,2014,3,73,4,5,6,2,2,0,3,4,1,3,3,3,1,1,9,9,9,0,0,9,2,24,246,99,99,1,209402,758228,905.887280701754
2014014024,1,4,0,,,,,85,0,120,,12,2014,1,73,4,5,5,2,3,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,2,24,242,99,99,1,219619,757503,1080.78009259259
2014014166,1,3,0,,,,,60,73,2155,1073,61,2014,4,73,4,1,5,2,3,1,0,4,1,2,3,1,2,1,9,9,9,0,0,9,2,23,234,99,99,1,227711,729275,761.132629107981
2014014265,1,4,0,,,,,1,0,90,,52,2014,3,74,4,5,2,2,2,0,2,6,1,4,3,3,1,1,9,9,9,0,0,9,4,32,432,99,99,1,186640,655540,2285.70972222222
2014014381,1,4,0,,,,,805,0,165,,12,2014,1,74,4,5,3,2,5,2,0,4,1,2,3,5,1,1,9,9,9,0,0,9,2,24,241,99,99,1,231734,751379,459.511904761905
2014014411,1,4,0,,,,,25,0,1720,,34,2014,1,75,4,5,3,2,1,3,0,5,1,3,3,3,1,1,9,9,9,1,2,1,6,62,623,99,99,1,184194,570332,527.222953216374
2014014429,1,4,0,,,,,80,0,1920,,34,2014,4,75,3,1,4,2,1,9,0,0,0,0,5,11,9,9,9,9,9,1,2,1,6,23,623,99,99,1,209473,569257,128.802083333333
2014014458,2,4,0,,,,,60,0,1240,,41,2014,4,75,3,1,5,2,2,3,0,3,1,3,3,1,1,1,9,9,9,0,0,9,7,77,77,99,99,1,227172,662582,761.132629107981
2014014521,1,4,0,,,,,5505,0,12,,61,2014,2,75,4,5,4,2,3,3,0,1,1,0,3,3,1,1,9,9,9,0,0,9,4,42,421,99,99,1,195570,677281,966.884259259259
2014014553,2,4,0,,,,,465,0,185,,41,2014,4,75,2,1,2,2,3,2,0,4,1,2,3,1,1,1,9,9,4,0,0,9,7,77,77,99,99,1,209357,657482,365.363636363636
2014014710,1,3,0,,,,,4,0,2205,433,11,2014,2,75,4,5,4,2,1,0,2,3,1,4,3,3,1,1,9,9,9,1,4,1,3,31,311,99,99,1,208204,748966,1159.22171052632
2014014714,1,3,0,,,,,431,6,245,4188,52,2014,1,75,4,5,3,2,2,0,3,5,1,4,3,6,1,1,9,9,9,0,0,9,4,43,432,99,99,1,189875,646519,2281.83333333333
2014014847,2,3,0,,,,,60,437,960,7222,43,2014,1,76,4,5,6,2,5,9,0,4,0,3,3,3,1,1,9,9,9,0,0,9,7,77,77,99,99,1,224951,640199,543.656103286385
2014015063,1,4,0,,,,,65,0,10,,11,2014,4,77,4,5,2,2,3,0,1,2,1,2,3,6,1,1,9,9,9,0,0,9,3,32,324,99,99,1,191616,708096,865.344655797101
2014015240,1,4,0,,,,,431,0,165,,52,2014,2,78,4,5,4,2,3,0,3,7,1,5,3,3,1,1,9,9,9,0,0,9,4,44,442,99,99,1,182769,649216,2289.74583333333
