כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
46,10,0.0,צומת אל על,34.0,צומת ברקת,23.0,"2.29 ק""מ מצומת אל על",192202,657274
55,10,49.0,צומת כפר סבא רח' וייצמן,60.0,צומת נווה ימין (מערב),54.0,"0.52 ק""מ מצומת כפר סבא רח' וייצמן",193885,675650
55,20,60.0,צומת נווה ימין (מערב),70.0,צומת כפר סבא (מזרח),62.0,"0.17 ק""מ מצומת נווה ימין (מערב)",194805,676147
55,30,70.0,צומת כפר סבא (מזרח),78.0,צומת לאלפי מנשה,65.0,"0.09 ק""מ מצומת כפר סבא (מזרח)",195153,676179
55,810,78.0,צומת לאלפי מנשה,396.0,יישוב שכם,120.0,במחסום,199889,676700
57,10,0.0,מחלף נתניה,7.0,כניסה לא' תעשייה נתניה,3.0,"0.25 ק""מ ממחלף נתניה",187988,692372
57,20,7.0,כניסה לא' תעשייה נתניה,35.0,צומת השרון,10.0,"0.17 ק""מ מצומת השרון",190895,692256
57,30,35.0,צומת השרון,86.0,צומת ינוב,43.0,"0.78 ק""מ מצומת השרון",191884,692133
57,38,86.0,צומת ינוב,126.0,צומת ניצני עוז,94.0,"0.78 ק""מ מצומת ינוב",196754,691177
57,40,126.0,צומת ניצני עוז,142.0,מחלף ניצני עוז,131.0,"0.53 ק""מ מצומת ניצני עוז",200299,690928
60,10,38.0,צומת חטיבת הנגב,56.0,כניסה לעומר,38.0,"0.88 ק""מ מכניסה לעומר",,
60,12,56.0,כניסה לעומר,128.0,צומת שוקת,123.0,"0.52 ק""מ מצומת שוקת",190222,579260
60,20,128.0,צומת שוקת,182.0,צומת לאל-זהרייה (דרום),132.0,"0.40 ק""מ מצומת שוקת",190944,579823
60,30,1981.0,כניסה למוקייבלה,2033.0,צומת יזרעאל,2027.0,"4.67 ק""מ מכניסה למוקייבלה",230100,717678
60,34,2033.0,צומת יזרעאל,2097.0,"יישוב עפולה (לת""א)",2036.0,"0.31 ק""מ מצומת יזרעאל",230097,718459
60,40,2108.0,יישוב עפולה (לנצרת),2155.0,צומת עדשים,2150.0,"4.18 ק""מ מיישוב עפולה (לנצרת)",227681,728813
60,50,2155.0,צומת עדשים,2212.0,צומת נצרת (דרום),2158.0,"0.28 ק""מ מצומת עדשים",227730,729625
60,823,699.0,צומת אל-חדר,750.0,צומת בית לחם (דרום),771.0,"1.41 ק""מ מצומת גבעת המטוס",219188,626424
65,30,61.0,צומת חדרה (מזרח),73.0,צומת אלון (שמורת אלון),64.0,"0.29 ק""מ מצומת חדרה (מזרח)",195828,705905
65,40,73.0,צומת אלון (שמורת אלון),99.0,צומת חנה,76.0,"0.35 ק""מ מצומת אלון",196957,706345
65,50,99.0,צומת חנה,108.0,צומת מנשה,102.0,"0.27 ק""מ מצומת חנה",199231,707392
65,60,108.0,צומת מנשה,145.0,צומת משמר הגבול,111.0,"0.30 ק""מ מצומת מנשה",199848,708079
65,70,279.0,כניסה לאום אל-פחם,342.0,צומת מגידו,339.0,"6.02 ק""מ מכניסה לאום אל-פחם",218047,719756
65,78,342.0,צומת מגידו,391.0,צומת הסרגל (תענכים),344.0,"0.2 ק""מ מצומת מגידו",218510,719946
65,80,391.0,צומת הסרגל (תענכים),450.0,כניסה לעפולה (צפון),410.0,"1.94 ק""מ מצומת הסרגל",224421,722683
65,90,451.0,יישוב עפולה(לבריכת שמ.),482.0,כניסה לגבעת המורה,465.0,"1.44 ק""מ מיישוב עפולה",228595,724671
66,20,188.0,צומת מגידו,340.0,צומת התשבי (צפוני),189.0,"0.14 ק""מ מצומת מגידו",218223,719962
70,10,100.0,מחלף זכרון יעקב,120.0,צומת פוריידיס,118.0,"1.82 ק""מ ממחלף זכרון יעקב",195063,722090
70,20,120.0,צומת פוריידיס,146.0,צומת שפיה,143.0,"2.32 ק""מ מצומת פוריידיס",196986,721067
70,30,146.0,צומת שפיה,269.0,מחלף אליקים,151.0,"0.52 ק""מ מכניסה לזכרון יעקב (ישן)",197424,720918
70,40,269.0,מחלף אליקים,317.0,כניסה ליקנעם עי' (מערב),295.0,"2.56 ק""מ מצומת אליקים",208242,728380
70,48,325.0,צומת יקנעם,331.0,צומת התשבי,330.0,"0.47 ק""מ מצומת יקנעם",210424,730643
70,70,431.0,מחלף יגור,463.0,צומת זבולון,440.0,"0.85 ק""מ מצומת יגור",207728,740371
70,80,463.0,צומת זבולון,530.0,מחלף סומך,466.0,"0.27 ק""מ מצומת זבולון",210116,741481
70,90,530.0,מחלף סומך,544.0,צומת אבליים,540.0,"1.00 ק""מ מצומת סומך",214432,747322
70,100,544.0,צומת אבליים,633.0,צומת יבור,632.0,"0.09 ק""מ מצומת יבור",217390,755164
70,120,662.0,צומת יסיף,787.0,צומת כברי,668.0,"0.62 ק""מ מצומת יסיף",215055,757978
71,1,170.0,יישוב עפולה (לבית שאן),180.0,צומת מרחביה,179.0,"0.11 ק""מ מצומת מרחביה",228583,723607
71,2,180.0,צומת מרחביה,249.0,צומת נבות,244.0,"0.48 ק""מ מצומת נבות",232727,718809
71,10,249.0,צומת נבות,312.0,צומת השיטה,310.0,"1.42 ק""מ מצומת נבות",239940,717029
71,20,312.0,צומת השיטה,398.0,צומת בית שאן (מערב),348.0,"1.39 ק""מ מצומת השיטה",242519,715858
71,28,398.0,צומת בית שאן (מערב),422.0,צומת שאן,416.0,"1.83 ק""מ מצומת בית שאן (מערב)",248553,712875
73,10,0.0,צומת נהלל,63.0,צומת ברוך,11.0,"1.06 ק""מ מצומת נהלל",219578,732998
73,20,63.0,צומת ברוך,116.0,צומת עדשים,70.0,"0.72 ק""מ מצומת ברוך",223137,729618
75,70,431.0,מחלף יגור,487.0,צומת קישון,432.0,כמאה מטר מצומת יגור,206067,740958
77,1,410.0,צומת ישי,498.0,מחלף המוביל,482.0,"7.18 ק""מ מצומת ישי",221278,739194
77,2,498.0,מחלף המוביל,612.0,צומת בית רימון,514.0,"1.57 ק""מ מצומת המוביל",223506,741253
77,10,612.0,צומת בית רימון,672.0,מחלף גולני,672.0,"0.17 ק""מ מצומת גולני",238353,742188
77,20,672.0,מחלף גולני,758.0,צומת פורייה,693.0,"1.96 ק""מ מצומת גולני",240581,742919
77,30,758.0,צומת פורייה,776.0,כניסה למצפה,774.0,"1.6 ק""מ מצומת פורייה",248151,743796
79,1,0.0,צומת עין אפק,50.0,מחלף גלעם,40.0,"1.2 ק""מ מצומת גלעם",212417,748548
79,18,72.0,מחלף סומך,177.0,מחלף המוביל,164.0,"1.25 ק""מ מצומת המוביל",221495,741459
79,20,177.0,מחלף המוביל,280.0,צומת משהד,221.0,"4.43 ק""מ מצומת המוביל",225215,737744
85,2,0.0,צומת תל עכו,71.0,צומת יסיף,39.0,"3.92 ק""מ מצומת תל עכו",211888,757896
85,20,81.0,צומת אחיהוד,192.0,צומת כרמיאל מערב,86.0,"0.47 ק""מ מצומת אחיהוד",216279,757440
85,26,192.0,צומת כרמיאל מערב,211.0,צומת כרמיאל,200.0,,,
85,28,211.0,צומת כרמיאל,280.0,צומת רמה מזרח,250.0,כמאה מטר מצומת חנניה,230081,759194
85,29,280.0,צומת רמה מזרח,315.0,צומת חנניה,290.0,,,
85,30,315.0,צומת חנניה,390.0,צומת נחל עמוד (קדרים),388.0,"1.03 ק""מ מצומת נחל עמוד",244491,757078
85,40,390.0,צומת נחל עמוד (קדרים),461.0,צומת עמיעד,444.0,"5.43 ק""מ מצומת נחל עמוד (קדרים)",250292,757373
87,10,0.0,צומת כפר נחום,99.0,צומת בית צידה,10.0,"1.07 ק""מ מצומת כפר נחום",252117,753226
87,720,99.0,צומת בית צידה,111.0,צומת יהודייה,103.0,"0.35 ק""מ מצומת בית צידה",259959,756664
87,730,111.0,צומת יהודייה,235.0,צומת קצרין,112.0,כמאה מטר  מצומת יהודיה,261156,756524
