pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2014000171,1,1,1,1167,186,125,,100087,,,,,11,2014,3,1,4,5,4,2,5,3,0,1,1,2,3,6,1,1,9,9,9,0,0,9,3,32,324,15,18,1,191441,713526
2014000172,1,1,2,509,0,,9999,,,,,,14,2014,3,1,4,5,2,3,5,2,0,2,1,4,3,3,1,1,9,9,9,0,0,9,2,23,237,99,26,2,232362,739109
2014000173,1,1,4,0,,,,,57,0,10,,51,2014,4,1,4,5,7,3,5,9,0,3,1,3,3,3,1,1,3,1,9,0,0,9,4,41,411,99,99,1,188572,692300
2014000178,1,1,2,435,,,9999,,,,,,14,2014,3,1,4,5,3,2,8,0,3,2,1,4,3,3,1,1,5,2,9,0,0,9,4,43,432,30,33,2,183492,647859
2014000179,1,1,3,0,,,,,60,675,2033,1059,14,2014,4,1,4,5,3,3,8,0,3,2,1,3,3,3,1,1,8,1,9,0,0,9,2,34,234,99,99,1,230098,718213
2014000180,1,1,2,8300,307,,63,,,,,,52,2014,3,1,4,5,3,2,8,0,2,1,1,4,3,3,1,1,6,2,9,0,0,9,4,44,442,0,13,1,181486,652724
2014000184,1,1,2,1061,269,,9999,,,,,,14,2014,2,1,4,5,4,3,8,3,0,1,1,2,4,6,1,1,2,2,9,0,0,9,2,23,237,0,16,3,231297,736220
2014000188,1,1,2,1314,0,,9999,,,,,,12,2014,2,1,4,5,7,3,8,0,2,5,1,5,3,6,1,1,6,9,9,0,0,9,2,24,243,52,37,2,217515,770201
2014000190,1,1,2,7800,104,,9999,,,,,,11,2014,1,1,4,5,4,3,8,0,2,5,0,3,3,3,1,1,6,2,9,0,0,9,3,32,324,99,16,3,196543,709531
2014000197,1,1,4,0,,,,,789,0,18,,12,2014,2,1,4,5,7,2,9,3,0,4,1,3,3,6,1,1,6,2,9,0,0,9,2,94,294,99,99,1,262865,747751
2014000198,1,2,4,0,,,,,90,0,2996,,43,2014,2,1,4,5,6,2,9,3,0,5,1,4,3,6,1,1,9,9,9,0,0,9,7,77,77,99,99,1,245724,642945
2014000201,1,2,4,0,,,,,55,0,135,,41,2014,3,1,4,5,6,3,10,2,0,4,1,0,3,6,1,1,9,9,9,0,0,9,7,77,77,99,99,1,200774,677038
2014000202,1,1,4,0,,,,,65,,170,,11,2014,3,1,4,5,5,3,10,0,2,5,1,3,3,6,1,1,9,9,9,0,0,9,3,24,324,99,99,1,205087,710639
2014000203,1,2,4,0,,,,,55,0,93,,41,2014,1,1,4,5,3,3,10,3,0,4,1,4,3,6,1,1,9,9,9,0,0,9,7,77,77,99,99,1,197148,675579
2014000204,1,2,4,0,,,,,90,0,3630,,41,2014,1,1,4,5,1,3,11,9,0,4,0,3,3,5,5,1,5,9,9,0,0,9,7,77,77,99,99,1,247233,698224
2014000206,1,1,2,5000,2562,,45,,,,,,20,2014,2,1,4,5,2,3,11,0,3,1,1,3,3,6,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180481,663532
2014000218,1,1,2,2730,0,,9999,,,,,,51,2014,4,1,1,5,2,3,12,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,4,41,412,0,26,2,200789,685696
2014000225,1,1,2,6100,207,,23,,,,,,20,2014,1,1,4,5,3,3,13,3,0,1,1,3,3,3,1,1,9,9,9,0,0,9,5,51,512,0,14,1,185144,666862
2014000238,1,1,2,8300,271,,4,,,,,,52,2014,4,1,4,5,3,3,8,1,0,1,1,0,3,3,1,1,8,9,9,0,0,9,4,44,442,0,13,3,180887,651377
2014000241,1,1,1,3000,301,125,,92870562,,,,,61,2014,4,1,3,5,4,3,1,1,0,1,1,3,3,3,1,1,9,9,9,3,3,1,1,11,111,0,12,1,220542,633463
2014000242,1,1,3,0,,,,,70,762,449,1205,11,2014,1,1,4,5,2,3,2,3,0,2,1,2,3,3,1,1,9,9,9,0,0,9,3,31,311,99,99,1,208602,740840
2014000243,1,1,3,0,,,,,431,4313,160,4186,52,2014,1,1,4,5,6,3,2,0,3,5,0,5,3,3,1,1,9,9,9,0,0,9,4,44,442,99,99,1,182696,649655
2014000244,1,1,4,0,,,,,65,0,160,,11,2014,1,1,4,5,2,3,3,0,2,5,1,3,3,3,1,1,9,9,9,0,0,9,3,24,324,99,99,1,204137,709964
2014000245,1,1,2,6900,420,,120,,,,,,51,2014,1,1,4,5,2,3,3,0,3,1,1,3,4,3,1,1,9,9,9,0,0,9,4,42,421,0,14,1,191420,677467
2014000250,1,1,1,3000,350,422,,10143,,,,,61,2014,1,1,4,5,6,3,4,9,0,1,0,2,3,3,1,1,9,9,9,0,0,9,1,11,111,0,12,1,220828,632540
2014000251,1,1,4,0,,,,,40,0,2130,,38,2014,3,1,4,5,5,3,8,0,2,5,1,3,3,3,4,1,6,2,9,0,0,9,6,21,621,99,99,1,177970,595992
2014000252,1,1,2,6600,969,,23,,,,,,20,2014,3,1,4,5,7,1,10,3,0,1,1,3,3,3,1,1,9,9,9,0,0,9,5,51,513,0,14,3,179354,657691
2014000255,1,1,2,9600,161,,92,,,,,,11,2014,1,1,4,5,7,3,2,1,0,1,1,3,3,3,1,1,9,9,9,0,0,9,3,31,311,0,16,1,207726,750923
2014000256,1,1,2,7400,432,,12,,,,,,51,2014,2,1,4,5,6,3,1,1,0,1,1,3,3,3,1,1,9,9,7,0,0,9,4,41,411,0,13,1,186489,692764
2014000257,1,1,2,9000,1369,,9999,,,,,,34,2014,2,1,4,5,6,3,2,0,3,3,0,3,3,3,1,1,9,9,9,0,0,9,6,62,623,0,13,3,180800,571828
