כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
66,10,15,כניסה לסאלם,18.8,צומת מגידו,18.3,"0.49 ק""מ מצומת מגידו",218606,719452
70,10,10,מחלף זכרון יעקב,12,צומת פוריידיס,11.9,כמאה מטר ממחלף פרדיס,195055,722069
70,20,12,צומת פוריידיס,14.6,צומת שפיה,12.1,כמאה מטר ממחלף פרדיס,196985,721055
70,30,14.6,צומת שפיה,26.9,מחלף אליקים,14.6,כמאתיים מטר מהכניסה לזכרון יעקב,197388,720914
70,40,26.9,מחלף אליקים,31.7,כניסה ליקנעם עילית (מערב),29.5,"2.56 ק""מ מצומת אליקים",208247,728355
70,48,32.5,צומת יקנעם,33.1,צומת התשבי,33,"0.47 ק""מ מצומת יקנעם",210447,730680
70,70,43.1,מחלף יגור,46.3,צומת זבולון,44,"0.85 ק""מ מצומת יגור",207738,740349
70,80,46.3,צומת זבולון,53,מחלף סומך,46.4,כמאתיים מטר צומת זבולון,210131,741471
70,90,53,מחלף סומך,54.4,צומת אבליים,54.4,כמאה מטר מצומת סומך,214447,747255
70,100,54.4,צומת אבליים,63.3,צומת יבור,61,"בק""מ 61",217413,755200
70,110,63.3,צומת יבור,66.1,צומת אחיהוד,65.9,כמאה מטר מצומת אחיהוד,216088,756893
70,130,78.7,צומת כברי,85.4,צומת חניתה,79.3,"0.57 ק""מ מצומת כברי",213649,769548
71,1,17,יישוב עפולה (לבית שאן),18,צומת מרחביה,17.9,"0.11 ק""מ מצומת מרחביה",228616,723661
71,10,24.9,צומת נבות,31.2,צומת השיטה,31,"1.42 ק""מ מצומת נבות",239944,717016
71,20,31.2,צומת השיטה,39.8,צומת בית שאן (מערב),34.8,"1.39 ק""מ מצומת השיטה",242507,715845
71,28,39.8,צומת בית שאן (מערב),42.2,צומת שאן,41.6,"1.83 ק""מ מצומת בית שאן (מערב)",248546,712881
71,30,42.3,צומת בית שאן-מעוז חיים,48.5,צומת נהר הירדן,42.3,כמאה מטר מצומת תל אישתורי,251831,711015
73,10,0,צומת נהלל,6.3,צומת ברוך,1.1,"1.06 ק""מ מצומת נהלל",219576,732987
73,20,6.3,צומת ברוך,11.6,צומת עדשים,7,"0.72 ק""מ מצומת ברוך",223143,729663
75,10,11.9,צומת נצרת (צפון  קישלה),13.8,כניסה לקריית הממשלה,12.3,"0.37 ק""מ מצומת נצרת (צפון  קישלה)",229419,734895
75,30,17.1,צומת נצרת (דרום),20,צומת מגדל העמק,18,"0.23 ק""מ מצומת מגדל העמק",225276,731663
75,40,27.4,צומת נהלל,34.5,צומת השומרים,27.6,כמאתיים מטר מצומת נהלל,217252,734394
75,50,34.5,צומת השומרים,39.2,צומת העמקים,38,כמאתיים מטר מצומת העמקים- אחרי 7213,209297,736798
75,60,39.2,צומת העמקים,43.1,מחלף יגור,42.6,"3.4 ק""מ מצומת העמקים",207336,739482
75,70,43.1,מחלף יגור,48.7,צומת קישון,43.2,כמאה מטר מצומת יגור,205936,741219
77,1,41,צומת ישי,49.8,מחלף המוביל,41.1,כמאה מטר מצומת ישי,221272,739142
77,2,49.8,מחלף המוביל,61.2,צומת בית רימון,49.9,כמאה מטר מצומת המוביל,223525,741241
77,10,61.2,צומת בית רימון,67.2,מחלף גולני,67.2,"0.17 ק""מ מצומת גולני",238378,742176
77,20,67.2,מחלף גולני,75.8,צומת פורייה,67.3,כמאה מטר מצומת גולני,240501,742892
77,30,75.8,צומת פורייה,77.6,כניסה למצפה,75.8,כמאה מטר מצומת פוריה,248192,743803
79,1,0,צומת עין אפק,5,מחלף גלעם,4,"1.2 ק""מ מצומת גלעם",212380,748569
85,2,0,צומת תל עכו,7.1,צומת יסיף,3.9,"3.92 ק""מ מצומת תל עכו",211918,757967
85,20,8.1,צומת אחיהוד,19.2,צומת כרמיאל מערב,8.6,"0.47 ק""מ מצומת אחיהוד",216282,757484
85,26,19.2,צומת כרמיאל מערב,21.1,צומת כרמיאל,,,227190,758851
85,28,21.1,צומת כרמיאל,28,צומת רמה מזרח,25,כמאה מטר מצומת חנניה,230660,759326
85,29,28,צומת רמה מזרח,31.5,צומת חנניה,,,238293,759196
85,30,31.5,צומת חנניה,39,צומת נחל עמוד (קדרים),38.8,"1.03 ק""מ מצומת נחל עמוד",244491,757079
85,40,39,צומת נחל עמוד (קדרים),46.1,צומת עמיעד,44.4,"5.43 ק""מ מצומת נחל עמוד (קדרים)",250278,757406
87,10,0,צומת כפר נחום,9.9,צומת בית צידה,1,"1.07 ק""מ מצומת כפר נחום",252104,753208
87,730,11.1,צומת יהודייה,23.5,צומת קצרין,11.2,כמאה מטר  מצומת יהודיה,266717,762588
87,740,23.5,צומת קצרין,26.1,צומת המפלים,23.6,כמאה מטר מצומת קצרין,,
87,750,26.1,צומת המפלים,35.2,צומת בשן,26.2,כמאה מטר מצומת המפלים,273922,766555
89,20,4.6,צומת כברי,16.5,צומת מעונה,4.7,כמאה מטר מצומת כברי,214080,769029
89,30,20.8,צומת חסן,35,צומת חירם,33.3,"1.72 ק""מ מצומת חירם",236758,769917
89,40,35,צומת חירם,44.2,צומת מירון,41.2,"6.2 ק""מ מצומת חירם",241756,768598
89,50,44.2,צומת מירון,48.6,צומת עין זיתים,46.9,"2.67 ק""מ מצומת מירון",244251,766497
89,60,48.6,צומת עין זיתים,59.6,מחלף אליפלט,59.4,כמאתיים מטר מאליפלט,250731,762150
